max_depth,learning_rate,subsample,colsample_bytree,best_iteration,val_auc,val_log_loss,val_accuracy,val_brier
6,0.05,0.7,0.7,110,0.8105285705492522,0.5234500309439535,0.7209773816814851,0.17714016139507294
6,0.05,0.7,0.85,111,0.8105040013487993,0.5235649841270457,0.7206817173871723,0.17718851566314697
6,0.05,0.7,1.0,111,0.8104240760680002,0.5234973306314733,0.7203226964583641,0.17718550562858582
6,0.05,0.85,0.7,111,0.8105502922844575,0.5234996242098932,0.7208506684124939,0.17715051770210266
6,0.05,0.85,0.85,131,0.8103467493668582,0.523522987441147,0.7199425566513907,0.17721889913082123
6,0.05,0.85,1.0,111,0.8104467656916121,0.523628136782916,0.7207028362653376,0.17721377313137054
6,0.05,1.0,0.7,123,0.8104167174399217,0.523492298101078,0.7209773816814851,0.17721174657344818
6,0.05,1.0,0.85,111,0.8102498418818248,0.5237638256462682,0.7211463327068066,0.17727768421173096
6,0.05,1.0,1.0,112,0.8101086746886923,0.5239070881330168,0.7208717872906591,0.17734260857105255
6,0.1,0.6,0.7,62,0.8106813390223166,0.5234413803200141,0.7215898291482756,0.17709505558013916
6,0.1,0.6,0.85,66,0.8100029009890303,0.5240361388788576,0.7200059132858863,0.1774066537618637
6,0.1,0.6,1.0,55,0.8101352073199125,0.5240374320570259,0.7201326265548774,0.17734454572200775
6,0.1,0.7,0.7,56,0.8103844586560001,0.5237271733469735,0.7213997592447889,0.17721979320049286
6,0.1,0.7,0.85,56,0.8104550449287554,0.5237210481088702,0.7204071719710249,0.17720927298069
6,0.1,0.7,1.0,56,0.8107334355042877,0.5232870601310667,0.7209773816814851,0.1770835667848587
6,0.1,0.85,0.7,61,0.8103367011686917,0.5236473706550865,0.7208506684124939,0.1772243231534958
6,0.1,0.85,0.85,59,0.8100864328807302,0.52410763739858,0.7204282908491901,0.1773640513420105
6,0.1,0.85,1.0,53,0.8103400838717677,0.5238233485581097,0.7207239551435027,0.17729252576828003
6,0.1,1.0,0.7,59,0.8102553182568731,0.5236893312438513,0.7213152837321282,0.17726987600326538
6,0.1,1.0,0.85,61,0.8102613664443348,0.523704705907693,0.7217376612954319,0.17728935182094574
6,0.1,1.0,1.0,54,0.8100097627379912,0.5239846679872685,0.7201115076767122,0.1773485243320465
8,0.01,0.6,0.7,541,0.810675892085349,0.5233647204372717,0.7215475913919452,0.17710019648075104
8,0.01,0.6,0.85,541,0.810602042645966,0.5233599102219166,0.7215264725137801,0.17712630331516266
8,0.01,0.6,1.0,579,0.8105193528617829,0.5234315975499608,0.7210407383159807,0.17715515196323395
8,0.01,0.7,0.7,555,0.8106808608765234,0.5233284379355296,0.7213575214884586,0.1770966649055481
8,0.01,0.7,0.85,587,0.8106236609018579,0.5233357388388635,0.7209562628033199,0.17712517082691193
8,0.01,0.7,1.0,566,0.8104534873866746,0.5235541803604747,0.7208295495343288,0.17719782888889313
8,0.01,0.85,0.7,571,0.8105731228540308,0.5234400522476428,0.7213575214884586,0.1771487444639206
8,0.01,0.85,0.85,535,0.8104122294707302,0.5235618997052587,0.7205972418745116,0.1771927922964096
8,0.01,0.85,1.0,535,0.8103346226617911,0.5236523555339794,0.7201326265548774,0.17723774909973145
8,0.01,1.0,0.7,567,0.8104551377033125,0.5235606046730683,0.7210196194378155,0.1771995723247528
8,0.01,1.0,0.85,539,0.8103855059380177,0.5235721982996313,0.7212308082194674,0.17720559239387512
8,0.01,1.0,1.0,538,0.8101977043649538,0.5237920489780622,0.7208506684124939,0.1772916167974472
8,0.03,0.6,0.7,194,0.8108803663167699,0.5231024453088892,0.7215898291482756,0.17701785266399384
8,0.03,0.6,0.85,191,0.8106142826430403,0.5232992033125241,0.7209562628033199,0.17710906267166138
8,0.03,0.6,1.0,191,0.8103901910531429,0.523684618414832,0.7208929061688243,0.17724919319152832
8,0.03,0.7,0.7,180,0.8107971163169928,0.5231813896783499,0.7210196194378155,0.1770249754190445
8,0.03,0.7,0.85,213,0.8105903771374946,0.5233251777114712,0.7209562628033199,0.17713619768619537
8,0.03,0.7,1.0,191,0.8103011551324402,0.5237815781670174,0.7208929061688243,0.17726856470108032
8,0.03,0.85,0.7,199,0.8105683958119425,0.5233455476233098,0.7207028362653376,0.17713721096515656
8,0.03,0.85,0.85,196,0.8103883748127783,0.5236425111890332,0.7204071719710249,0.1772286593914032
8,0.03,0.85,1.0,196,0.8101830049500578,0.5239011234934142,0.7206817173871723,0.17732639610767365
8,0.03,1.0,0.7,182,0.8104203356476423,0.5236186961784697,0.7213786403666237,0.1771976202726364
8,0.03,1.0,0.85,184,0.8103913355700327,0.5235454198158603,0.7210407383159807,0.17721082270145416
8,0.03,1.0,1.0,191,0.8102690917103259,0.5237357648046923,0.720639479630842,0.17728930711746216
8,0.05,0.6,0.7,118,0.8108587418164366,0.5230876948163328,0.7212519270976325,0.1770208328962326
8,0.05,0.6,0.85,117,0.8108422118881674,0.5232198622716179,0.7212519270976325,0.1770475208759308
8,0.05,0.6,1.0,124,0.8106030381883269,0.5234103019808132,0.7206817173871723,0.17715610563755035
8,0.05,0.7,0.7,110,0.8108517890770447,0.5232017913144345,0.7214419970011193,0.17706288397312164
8,0.05,0.7,0.85,108,0.8107768994921485,0.5233085482206516,0.7209773816814851,0.17707450687885284
8,0.05,0.7,1.0,124,0.8104583000668155,0.5234282297601028,0.7206183607526768,0.1771915704011917
8,0.05,0.85,0.7,109,0.8106864425150111,0.5234086414574819,0.7207661928998331,0.1771259307861328
8,0.05,0.85,0.85,109,0.8104674909923935,0.5236018865879593,0.7213575214884586,0.1771857738494873
8,0.05,0.85,1.0,111,0.8104099663067786,0.5236850340507443,0.720745074021668,0.17725186049938202
8,0.05,1.0,0.7,110,0.8104974241679505,0.5234384333506991,0.7215264725137801,0.1771635115146637
8,0.05,1.0,0.85,107,0.810299312130184,0.5236584315289808,0.7209562628033199,0.1772376447916031
