match_id,rank
NA1_5637364971,EMERALD
NA1_5636820728,GRANDMASTER
NA1_5634362850,DIAMOND
NA1_5635954831,MASTER
NA1_5638976750,PLATINUM
NA1_5638604733,BRONZE
NA1_5639120243,IRON
NA1_5632564328,IRON
NA1_5638703162,MASTER
NA1_5638792423,IRON
NA1_5638944682,GRANDMASTER
NA1_5635718434,SILVER
NA1_5634263624,CHALLENGER
NA1_5636694686,DIAMOND
NA1_5635528042,MASTER
NA1_5635909607,GRANDMASTER
NA1_5638568063,IRON
NA1_5639098776,GRANDMASTER
NA1_5638784307,MASTER
NA1_5633929642,CHALLENGER
NA1_5636406687,PLATINUM
NA1_5638978496,PLATINUM
NA1_5637325564,DIAMOND
NA1_5637762479,GOLD
NA1_5637395427,IRON
NA1_5638760674,BRONZE
NA1_5638929883,DIAMOND
NA1_5628888836,EMERALD
NA1_5637826942,CHALLENGER
NA1_5633944826,CHALLENGER
NA1_5629831526,IRON
NA1_5637427588,MASTER
NA1_5638183135,EMERALD
NA1_5629199732,EMERALD
NA1_5636949946,SILVER
NA1_5635731338,SILVER
NA1_5638557561,EMERALD
NA1_5635847120,PLATINUM
NA1_5638775900,BRONZE
NA1_5638801876,CHALLENGER
NA1_5637315647,SILVER
NA1_5636102251,EMERALD
NA1_5638724091,MASTER
NA1_5632617600,IRON
NA1_5638031888,PLATINUM
NA1_5638745633,CHALLENGER
NA1_5638634908,GOLD
NA1_5634568185,BRONZE
NA1_5638769138,MASTER
NA1_5634699155,BRONZE
NA1_5630482022,SILVER
NA1_5635667486,SILVER
NA1_5629087151,DIAMOND
NA1_5638389046,GOLD
NA1_5628856475,EMERALD
NA1_5634834992,BRONZE
NA1_5630625963,DIAMOND
NA1_5635409188,PLATINUM
NA1_5638735334,EMERALD
NA1_5635452702,SILVER
NA1_5637528837,IRON
NA1_5638516440,DIAMOND
NA1_5638118490,SILVER
NA1_5629201237,IRON
NA1_5634511992,PLATINUM
NA1_5636507223,PLATINUM
NA1_5638589965,MASTER
NA1_5639110724,PLATINUM
NA1_5635436268,DIAMOND
NA1_5631041717,EMERALD
NA1_5638585565,GRANDMASTER
NA1_5638702373,DIAMOND
NA1_5638420765,GRANDMASTER
NA1_5638358648,IRON
NA1_5632177634,BRONZE
NA1_5638811698,EMERALD
NA1_5637054305,BRONZE
NA1_5638170540,GRANDMASTER
NA1_5633640190,GRANDMASTER
NA1_5637842719,GRANDMASTER
NA1_5631397593,SILVER
NA1_5638558835,GRANDMASTER
NA1_5638621897,MASTER
NA1_5638643613,IRON
NA1_5639242400,EMERALD
NA1_5636696301,DIAMOND
NA1_5636139171,SILVER
NA1_5637118691,MASTER
NA1_5637641866,GRANDMASTER
NA1_5634941868,CHALLENGER
NA1_5635324054,EMERALD
NA1_5633523987,BRONZE
NA1_5639025415,GRANDMASTER
NA1_5637976339,MASTER
NA1_5636250701,IRON
NA1_5636219988,BRONZE
NA1_5634970850,CHALLENGER
NA1_5635606258,IRON
NA1_5639109818,DIAMOND
NA1_5637637224,PLATINUM
NA1_5636064721,IRON
NA1_5638950851,EMERALD
NA1_5638351137,EMERALD
NA1_5637957350,SILVER
NA1_5638878245,IRON
NA1_5636405796,GRANDMASTER
NA1_5638815785,SILVER
NA1_5638196604,MASTER
NA1_5637101483,GOLD
NA1_5635515343,CHALLENGER
NA1_5636412811,SILVER
NA1_5634801722,IRON
NA1_5635245332,BRONZE
NA1_5636829624,DIAMOND
NA1_5638555226,IRON
NA1_5638626850,BRONZE
NA1_5636423941,PLATINUM
NA1_5634974868,IRON
NA1_5637538793,CHALLENGER
NA1_5637186804,SILVER
NA1_5631608153,PLATINUM
NA1_5638883243,IRON
NA1_5631515710,DIAMOND
NA1_5636444497,MASTER
NA1_5637683963,CHALLENGER
NA1_5635606867,EMERALD
NA1_5635206930,EMERALD
NA1_5638829575,GRANDMASTER
NA1_5632480566,GOLD
NA1_5636416237,PLATINUM
NA1_5637017681,IRON
NA1_5637041622,IRON
NA1_5637313574,DIAMOND
NA1_5636533586,GRANDMASTER
NA1_5636391312,GOLD
NA1_5635112076,BRONZE
NA1_5638014001,SILVER
NA1_5631795418,PLATINUM
NA1_5638024341,MASTER
